OS_Berufs4Steller_RGS
Datum;RGSCode;RGSName;Berufs4Steller;Berufs4StellerBez;Bestand;
2024-12-31;418;Vöcklabruck;B2161;B2161 - Schweißer/innen, Schneidbrenner/innen;13;
2024-12-31;418;Vöcklabruck;B2201;B2201 - Kraftfahrzeugmechaniker/innen;39;
2024-12-31;418;Vöcklabruck;B2208;B2208 - Sonstige Grobmechaniker/innen;47;
2024-12-31;418;Vöcklabruck;B2209;B2209 - Grobmechanikerhelfer/innen;1;
2024-12-31;418;Vöcklabruck;B2223;B2223 - Bandagist(en)innen, Orthopädiemechaniker/innen;1;
2024-12-31;418;Vöcklabruck;B2224;B2224 - Zahnprothesenmacher/innen;1;
2024-12-31;418;Vöcklabruck;B2241;B2241 - Augenoptiker/innen;4;
2024-12-31;418;Vöcklabruck;B2388;B2388 - Sonstige Metallwarenmacher/innen, -montierer/innen;2;
2024-12-31;418;Vöcklabruck;B2399;B2399 - Metallhilfsarbeiter/innen, -helfer/innen;3;
2024-12-31;418;Vöcklabruck;B2405;B2405 - Elektromechaniker/innen;22;
2024-12-31;418;Vöcklabruck;B2421;B2421 - Elektroinstallateur(e)innen, -monteur(e)innen;55;
2024-12-31;418;Vöcklabruck;B2502;B2502 - Holzmaschinenarbeiter/innen;1;
2024-12-31;418;Vöcklabruck;B2511;B2511 - Bautischler/innen;5;
2024-12-31;418;Vöcklabruck;B2513;B2513 - Bau- und Möbeltischler/innen;19;
2024-12-31;418;Vöcklabruck;B2515;B2515 - Möbeltischler/innen;1;
2024-12-31;418;Vöcklabruck;B2519;B2519 - Tischlerhelfer/innen;7;
2024-12-31;418;Vöcklabruck;B3014;B3014 - Herren- und Damenschneider/innen;1;
2024-12-31;418;Vöcklabruck;B3021;B3021 - Oberbekleidungsarbeiter/innen (Kleidernäher/innen);1;
2024-12-31;418;Vöcklabruck;B3088;B3088 - Sonstige Textilnäher/innen;1;
2024-12-31;418;Vöcklabruck;B3171;B3171 - Tapezierer/innen, Polster(er)innen;3;
2024-12-31;418;Vöcklabruck;B3203;B3203 - Orthopädieschuhmacher/innen;2;
2024-12-31;418;Vöcklabruck;B3441;B3441 - Fotolaborant(en)innen, Fotohilfskräfte (m./w.);1;
2024-12-31;418;Vöcklabruck;B3501;B3501 - Chemiearbeiter/innen;2;
2024-12-31;418;Vöcklabruck;B3548;B3548 - Sonstige Gummiarbeiter/innen;1;
2024-12-31;418;Vöcklabruck;B3571;B3571 - Kunststoffverarbeiter/innen;4;
2024-12-31;418;Vöcklabruck;B3631;B3631 - Bäcker/innen;8;
2024-12-31;418;Vöcklabruck;B3632;B3632 - Bäckereiarbeiter/innen, andere Backwarenhersteller/innen;1;
2024-12-31;418;Vöcklabruck;B3641;B3641 - Zuckerbäcker/innen;3;
2024-12-31;418;Vöcklabruck;B3661;B3661 - Fleischer/innen;5;
2024-12-31;418;Vöcklabruck;B3668;B3668 - Sonstige Fleischverarbeiter/innen (ohne Konservenhersteller);1;
2024-12-31;418;Vöcklabruck;B3751;B3751 - Kaffeemittel-, andere Nahrungsmittelhersteller/innen;2;
2024-12-31;418;Vöcklabruck;B3801;B3801 - Maschinist(en)innen, Wärter/innen an Kraftmaschinen;8;
2024-12-31;418;Vöcklabruck;B3835;B3835 - Erdbewegungs-, Baumaschinenführer/innen;5;
2024-12-31;418;Vöcklabruck;B3851;B3851 - Bediener/innen anderer Güterbewegungsgeräte;26;
2024-12-31;418;Vöcklabruck;B3901;B3901 - Warensortierer, -nachseher, -adjustierer, -verpacker (m./w.);44;
2024-12-31;418;Vöcklabruck;B3951;B3951 - Magazin-, Lagerarbeiter, Verlader, Warenzusteller, (m./w.);33;
2024-12-31;418;Vöcklabruck;B3999;B3999 - Hilfsarbeiter/innen (Helfer), soweit nicht anderw. eing.;13;
2024-12-31;418;Vöcklabruck;B4002;B4002 - Drogist(en)innen;1;
2024-12-31;418;Vöcklabruck;B4003;B4003 - Händler/innen, Verk. v. Eisen-,MW.,Masch.,Haush.,Küchenger.;2;
2024-12-31;418;Vöcklabruck;B4005;B4005 - Händler/innen und Verk. von Textil- und Bekleidungswaren;9;
2024-12-31;418;Vöcklabruck;B4007;B4007 - Händler/innen u.Verkäufer/innen v. Lebens- und Genußmitteln;34;
2024-12-31;418;Vöcklabruck;B4012;B4012 - Händler/innen und Verkäufer/innen von Elektrowaren;2;
2024-12-31;418;Vöcklabruck;B4013;B4013 - Händler/innen, Verk. v. Fahrz., Bestandteilen u. Zubehör;6;
2024-12-31;418;Vöcklabruck;B4014;B4014 - Händler/innen,Verk.v.Parfümerien, Wasch-, Haush., Farben, Lack;3;
2024-12-31;418;Vöcklabruck;B4015;B4015 - Tabakverschleißer/innen, -verkäufer/innen;3;
2024-12-31;418;Vöcklabruck;B4016;B4016 - Warenhausverkäufer/innen;3;
2024-12-31;418;Vöcklabruck;B4018;B4018 - Sonstige Händler/innen u. Verkäufer/innen;72;
2024-12-31;418;Vöcklabruck;B4051;B4051 - Ambulante Händler/innen und Verkäufer/innen;1;
2024-12-31;418;Vöcklabruck;B4061;B4061 - Tankstellenwart(e)innen;6;
2024-12-31;418;Vöcklabruck;B4071;B4071 - Einkäufer/innen;5;
2024-12-31;418;Vöcklabruck;B4101;B4101 - Handelsvertreter/innen;8;
2024-12-31;418;Vöcklabruck;B4141;B4141 - Werbefachleute (m./w.);10;
2024-12-31;418;Vöcklabruck;B4161;B4161 - Versicherungsvermittler/innen, -vertreter/innen;4;
2024-12-31;418;Vöcklabruck;B4188;B4188 - Sonst. Vermittler/innen, Vermieter/innen und verw. Berufe;1;
2024-12-31;418;Vöcklabruck;B4221;B4221 - Lokomotivführer/innen, -heizer/innen;5;
2024-12-31;418;Vöcklabruck;B4271;B4271 - Bahnberufe anderer Art;1;
2024-12-31;418;Vöcklabruck;B4281;B4281 - Fuhrwerksunternehmer/innen, Kraftfahrer/innen;26;
2024-12-31;418;Vöcklabruck;B4531;B4531 - Postverkehrsfachbedienstete (m./w.);5;
2024-12-31;418;Vöcklabruck;B4601;B4601 - Speditionsfachleute (m./w.);2;
2024-12-31;418;Vöcklabruck;B4605;B4605 - Reise-, Fremdenverkehrsfachleute (m./w.);3;
2024-12-31;418;Vöcklabruck;B4701;B4701 - Transportarbeiter/innen;1;
